iter	MultiClass
0	1.079493108
1	1.063682512
2	1.050449068
3	1.039017209
4	1.029118455
5	1.020372992
6	1.013162942
7	1.006722251
8	1.001277099
9	0.9959538203
10	0.991374613
11	0.9876568758
12	0.9838458172
13	0.9806450271
14	0.9775823355
15	0.9752303672
16	0.9726005304
17	0.9706101727
18	0.9686259483
19	0.9667478618
20	0.9650350875
21	0.9638068121
22	0.9623399499
23	0.9610177736
24	0.959911049
25	0.9587744568
26	0.9577581747
27	0.9567370293
28	0.9558485969
29	0.9551249547
30	0.9543624898
31	0.9536420196
32	0.9528499537
33	0.9522077095
34	0.9515102259
35	0.9509461587
36	0.9504667695
37	0.9499280916
38	0.9493689033
39	0.9486989363
40	0.9482537101
41	0.947741424
42	0.9473441253
43	0.9468613127
44	0.9463883525
45	0.9458680014
46	0.9454654887
47	0.9452454718
48	0.9448461079
49	0.9445443932
50	0.944146436
51	0.943862085
52	0.943526702
53	0.9432203658
54	0.9429497866
55	0.9426074176
56	0.9423228624
57	0.9420921821
58	0.9418376916
59	0.9415899787
60	0.941288139
61	0.9411259067
62	0.9408845247
63	0.9406636897
64	0.9404097712
65	0.9401905595
66	0.9400380254
67	0.9399108144
68	0.939587433
69	0.9394249636
70	0.9392426279
71	0.9390814492
72	0.9388960978
73	0.9386790178
74	0.9385327543
75	0.9383690544
76	0.9381826469
77	0.9380902806
78	0.9379155942
79	0.9377917094
80	0.9376390723
81	0.9374643013
82	0.9373019629
83	0.9372054808
84	0.9370961434
85	0.9369166947
86	0.9367226426
87	0.9366124316
88	0.9364716588
89	0.9363365612
90	0.9361936714
91	0.936042752
92	0.9359237165
93	0.9358418276
94	0.9357635852
95	0.9356378869
96	0.9355198024
97	0.9353570295
98	0.9352427233
99	0.9351481678
100	0.9350623771
101	0.9350584304
102	0.9348360402
103	0.9347304732
104	0.9345873099
105	0.9344423555
106	0.9343237535
107	0.9342416063
108	0.9341151506
109	0.9340136047
110	0.9338505582
111	0.933728211
112	0.9335613223
113	0.9334195715
114	0.9333801569
115	0.9332783852
116	0.9330981054
117	0.9330129421
118	0.9329253328
119	0.9327898114
120	0.9326651674
121	0.9325539513
122	0.9324162945
123	0.9323355781
124	0.9322514025
125	0.9321609535
126	0.9320886367
127	0.9320210668
128	0.9318853454
129	0.9317709528
130	0.9315810323
131	0.9314422941
132	0.9313321962
133	0.9312220424
134	0.9310977477
135	0.9309947274
136	0.9308297695
137	0.9307534743
138	0.9306098817
139	0.9305455878
140	0.9303882278
141	0.9302889671
142	0.9302262418
143	0.9301129265
144	0.9300087745
145	0.9299206768
146	0.9298022451
147	0.929704055
148	0.9295570849
149	0.9294615903
150	0.929351889
151	0.9291703164
152	0.9290063977
153	0.9288171609
154	0.9287118797
155	0.9286460784
156	0.9285022561
157	0.9284243983
158	0.9283221291
159	0.928172252
160	0.9281195938
161	0.9280174935
162	0.9279268337
163	0.9278368207
164	0.9277223117
165	0.9276385163
166	0.9275441157
167	0.9274505503
168	0.9273237708
169	0.9272669867
170	0.927170739
171	0.927066814
172	0.9270040259
173	0.9269398744
174	0.9268381223
175	0.9266833533
176	0.9266060047
177	0.9265375269
178	0.9264641125
179	0.9263795763
180	0.9263074944
181	0.9262118107
182	0.9261156905
183	0.9259983787
184	0.925908759
185	0.9257878554
186	0.9257147918
187	0.92562321
188	0.9254786513
189	0.9254108235
190	0.9253391591
191	0.9252556121
192	0.9251667546
193	0.9250835215
194	0.9249842121
195	0.9248796731
196	0.9247720337
197	0.9246810053
198	0.924590521
199	0.9245484343
200	0.9244697715
201	0.9243328507
202	0.9242698716
203	0.924202648
204	0.9241431532
205	0.9240403171
206	0.9239802716
207	0.9239094951
208	0.9238363737
209	0.9237434499
210	0.9236789997
211	0.9236049881
212	0.9235202369
213	0.9234179974
214	0.9233083906
215	0.9232261361
216	0.9231540086
217	0.9230974242
218	0.9230320054
219	0.9229588462
220	0.9228804683
221	0.9227983458
222	0.9227338956
223	0.9227012629
224	0.922608702
225	0.9225542466
226	0.9224663475
227	0.9223760449
228	0.9223091516
229	0.9222366789
230	0.9221548651
231	0.9220667638
232	0.9220015827
233	0.9219218699
234	0.9218604616
235	0.9217790784
236	0.9217117779
237	0.9216313926
238	0.9215994678
239	0.9215316891
240	0.9214612316
241	0.9213760447
242	0.9213118857
243	0.9212506657
244	0.9211744963
245	0.9211003495
246	0.9209946516
247	0.9209085941
248	0.9208325164
249	0.920745399
250	0.9206215661
251	0.9205653958
252	0.9205083653
253	0.920428305
254	0.920371863
255	0.9203184476
256	0.9202629721
257	0.9201799874
