iter	Passed	Remaining
0	75	75518
1	139	69856
2	209	69513
3	272	67888
4	341	67909
5	400	66371
6	472	67002
7	547	67870
8	616	67845
9	678	67209
10	753	67786
11	829	68321
12	911	69231
13	984	69337
14	1048	68832
15	1115	68588
16	1179	68205
17	1239	67618
18	1299	67120
19	1349	66119
20	1406	65576
21	1464	65095
22	1532	65084
23	1598	65025
24	1657	64659
25	1716	64317
26	1773	63915
27	1828	63483
28	1882	63027
29	1944	62876
30	2006	62721
31	2072	62700
32	2135	62576
33	2193	62334
34	2251	62067
35	2309	61854
36	2373	61784
37	2433	61613
38	2495	61488
39	2554	61306
40	2612	61107
41	2676	61054
42	2733	60832
43	2790	60632
44	2854	60575
45	2915	60474
46	2971	60248
47	3024	59989
48	3080	59786
49	3154	59939
50	3218	59896
51	3280	59806
52	3349	59851
53	3408	59720
54	3469	59619
55	3526	59448
56	3588	59371
57	3648	59261
58	3711	59191
59	3771	59081
60	3832	58992
61	3909	59148
62	3988	59325
63	4061	59400
64	4127	59373
65	4190	59304
66	4246	59137
67	4315	59144
68	4387	59199
69	4440	59001
70	4502	58914
71	4553	58691
72	4606	58498
73	4667	58401
74	4751	58596
75	4811	58502
76	4885	58563
77	4952	58536
78	5010	58411
79	5081	58435
80	5135	58269
81	5199	58208
82	5251	58016
83	5311	57919
84	5375	57860
85	5430	57712
86	5495	57675
87	5557	57594
88	5610	57431
89	5667	57305
90	5723	57172
91	5789	57136
92	5847	57030
93	5903	56904
94	5967	56843
95	6025	56737
96	6093	56729
97	6175	56839
98	6248	56863
99	6314	56831
100	6370	56700
101	6429	56600
102	6488	56504
103	6546	56403
104	6603	56282
105	6666	56224
106	6718	56075
107	6772	55932
108	6828	55816
109	6896	55798
110	6958	55727
111	7030	55737
112	7089	55651
113	7154	55603
114	7215	55530
115	7284	55514
116	7344	55425
117	7400	55314
118	7462	55248
119	7520	55149
120	7578	55050
121	7634	54944
122	7686	54805
123	7746	54723
124	7809	54667
125	7874	54620
126	7942	54593
127	8000	54500
128	8061	54430
129	8121	54351
130	8185	54301
131	8248	54242
